appName;project;Repositorio;Url repositorio;country;ocplabel;usage;baseImageVersion;secret;secretName;configmap;congtimapName;volume;mountpath;cpuLimits;cpuRequest;memoryLimits;memeoryRequests;replicas;sonarStrictToAllBranches;runtimeVersion;node;sonar;Token;TokenDev;TokenUat;TokenPrd;TokenDrs;NameSpaceDev;NameSpaceUat;NameSpacePrd;NameSpaceDrs
app1;proyecto1;repo1-app1;https://github.com/org/repo1-app1;MX;label1;internal;1.0.0;secret1;secretName1;config1;configMap1;vol1;/mnt/vol1;500m;250m;512Mi;256Mi;2;true;16;node1;sonar1;token1;tokenDev1;tokenUat1;tokenPrd1;tokenDrs1;nsDev1;nsUat1;nsDevPrd1;nsDrs1
app1b;proyecto1;repo1-app1b;https://github.com/org/repo1-app1b;MX;label1;internal;1.0.0;secret1b;secretName1b;config1b;configMap1b;vol1b;/mnt/vol1b;600m;300m;1Gi;512Mi;1;false;16;node1b;sonar1b;token1b;tokenDev1b;tokenUat1b;tokenPrd1b;tokenDrs1b;nsDev1b;nsUat1b;nsDevPrd1b;nsDrs1b
app2;proyecto2;repo2-app2;https://github.com/org/repo2-app2;CO;label2;external;1.0.1;secret2;secretName2;config2;configMap2;vol2;/mnt/vol2;600m;300m;1Gi;512Mi;1;false;18;node2;sonar2;token2;tokenDev2;tokenUat2;tokenPrd2;tokenDrs2;nsDev2;nsUat2;nsDevPrd2;nsDrs2
app3;proyecto3;repo3-app3;https://github.com/org/repo3-app3;AR;label3;internal;1.0.2;secret3;secretName3;config3;configMap3;vol3;/mnt/vol3;700m;350m;2Gi;1Gi;3;true;20;node3;sonar3;token3;tokenDev3;tokenUat3;tokenPrd3;tokenDrs3;nsDev3;nsUat3;nsDevPrd3;nsDrs3
app3b;proyecto3;repo3-app3b;https://github.com/org/repo3-app3b;AR;label3;internal;1.0.2;secret3b;secretName3b;config3b;configMap3b;vol3b;/mnt/vol3b;800m;400m;2Gi;1Gi;2;false;20;node3b;sonar3b;token3b;tokenDev3b;tokenUat3b;tokenPrd3b;tokenDrs3b;nsDev3b;nsUat3b;nsDevPrd3b;nsDrs3b
app4;proyecto4;repo4-app4;https://github.com/org/repo4-app4;CL;label4;external;1.0.3;secret4;secretName4;config4;configMap4;vol4;/mnt/vol4;800m;400m;256Mi;128Mi;2;false;14;node4;sonar4;token4;tokenDev4;tokenUat4;tokenPrd4;tokenDrs4;nsDev4;nsUat4;nsDevPrd4;nsDrs4
app5;proyecto5;repo5-app5;https://github.com/org/repo5-app5;PE;label5;internal;1.0.4;secret5;secretName5;config5;configMap5;vol5;/mnt/vol5;900m;450m;768Mi;384Mi;1;true;12;node5;sonar5;token5;tokenDev5;tokenUat5;tokenPrd5;tokenDrs5;nsDev5;nsUat5;nsDevPrd5;nsDrs5
app5b;proyecto5;repo5-app5b;https://github.com/org/repo5-app5b;PE;label5;internal;1.0.4;secret5b;secretName5b;config5b;configMap5b;vol5b;/mnt/vol5b;950m;475m;1Gi;512Mi;2;false;12;node5b;sonar5b;token5b;tokenDev5b;tokenUat5b;tokenPrd5b;tokenDrs5b;nsDev5b;nsUat5b;nsDevPrd5b;nsDrs5b
app6;proyecto6;repo6-app6;https://github.com/org/repo6-app6;app6;MX;label6;external;1.0.5;secret6;secretName6;config6;configMap6;vol6;/mnt/vol6;1000m;500m;1.5Gi;750Mi;2;false;16;node6;sonar6;token6;tokenDev6;tokenUat6;tokenPrd6;tokenDrs6;nsDev6;nsUat6;nsDevPrd6;nsDrs6
app7;proyecto7;repo7-app7;https://github.com/org/repo7-app7;app7;CO;label7;internal;1.0.6;secret7;secretName7;config7;configMap7;vol7;/mnt/vol7;1100m;550m;2.5Gi;1.25Gi;3;true;18;node7;sonar7;token7;tokenDev7;tokenUat7;tokenPrd7;tokenDrs7;nsDev7;nsUat7;nsDevPrd7;nsDrs7
app7b;proyecto7;repo7-app7b;https://github.com/org/repo7-app7b;app7b;CO;label7;internal;1.0.6;secret7b;secretName7b;config7b;configMap7b;vol7b;/mnt/vol7b;1200m;600m;2.5Gi;1.25Gi;2;false;18;node7b;sonar7b;token7b;tokenDev7b;tokenUat7b;tokenPrd7b;tokenDrs7b;nsDev7b;nsUat7b;nsDevPrd7b;nsDrs7b
app8;proyecto8;repo8-app8;https://github.com/org/repo8-app8;app8;AR;label8;external;1.0.7;secret8;secretName8;config8;configMap8;vol8;/mnt/vol8;1200m;600m;512Mi;256Mi;2;false;20;node8;sonar8;token8;tokenDev8;tokenUat8;tokenPrd8;tokenDrs8;nsDev8;nsUat8;nsDevPrd8;nsDrs8
app9;proyecto9;repo9-app9;https://github.com/org/repo9-app9;app9;CL;label9;internal;1.0.8;secret9;secretName9;config9;configMap9;vol9;/mnt/vol9;1300m;650m;1Gi;512Mi;1;true;14;node9;sonar9;token9;tokenDev9;tokenUat9;tokenPrd9;tokenDrs9;nsDev9;nsUat9;nsDevPrd9;nsDrs9
app9b;proyecto9;repo9-app9b;https://github.com/org/repo9-app9b;app9b;CL;label9;internal;1.0.8;secret9b;secretName9b;config9b;configMap9b;vol9b;/mnt/vol9b;1400m;700m;1Gi;512Mi;1;true;14;node9b;sonar9b;token9b;tokenDev9b;tokenUat9b;tokenPrd9b;tokenDrs9b;nsDev9b;nsUat9b;nsDevPrd9b;nsDrs9b
app10;proyecto10;repo10-app10;https://github.com/org/repo10-app10;app10;PE;label10;external;1.0.9;secret10;secretName10;config10;configMap10;vol10;/mnt/vol10;1400m;700m;2Gi;1Gi;2;false;12;node10;sonar10;token10;tokenDev10;tokenUat10;tokenPrd10;tokenDrs10;nsDev10;nsUat10;nsDevPrd10;nsDrs10
app11;proyecto11;repo11-app11;https://github.com/org/repo11-app11;app11;MX;label11;internal;1.1.0;secret11;secretName11;config11;configMap11;vol11;/mnt/vol11;1500m;750m;256Mi;128Mi;3;true;16;node11;sonar11;token11;tokenDev11;tokenUat11;tokenPrd11;tokenDrs11;nsDev11;nsUat11;nsDevPrd11;nsDrs11
app11b;proyecto11;repo11-app11b;https://github.com/org/repo11-app11b;app11b;MX;label11;internal;1.1.0;secret11b;secretName11b;config11b;configMap11b;vol11b;/mnt/vol11b;1600m;800m;256Mi;128Mi;3;true;16;node11b;sonar11b;token11b;tokenDev11b;tokenUat11b;tokenPrd11b;tokenDrs11b;nsDev11b;nsUat11b;nsDevPrd11b;nsDrs11b
app12;proyecto12;repo12-app12;https://github.com/org/repo12-app12;app12;CO;label12;external;1.1.1;secret12;secretName12;config12;configMap12;vol12;/mnt/vol12;1600m;800m;768Mi;384Mi;2;false;18;node12;sonar12;token12;tokenDev12;tokenUat12;tokenPrd12;tokenDrs12;nsDev12;nsUat12;nsDevPrd12;nsDrs12
app13;proyecto13;repo13-app13;https://github.com/org/repo13-app13;app13;AR;label13;internal;1.1.2;secret13;secretName13;config13;configMap13;vol13;/mnt/vol13;1700m;850m;1.5Gi;750Mi;1;true;20;node13;sonar13;token13;tokenDev13;tokenUat13;tokenPrd13;tokenDrs13;nsDev13;nsUat13;nsDevPrd13;nsDrs13
app13b;proyecto13;repo13-app13b;https://github.com/org/repo13-app13b;app13b;AR;label13;internal;1.1.2;secret13b;secretName13b;config13b;configMap13b;vol13b;/mnt/vol13b;1800m;900m;1.5Gi;750Mi;1;true;20;node13b;sonar13b;token13b;tokenDev13b;tokenUat13b;tokenPrd13b;tokenDrs13b;nsDev13b;nsUat13b;nsDevPrd13b;nsDrs13b
app14;proyecto14;repo14-app14;https://github.com/org/repo14-app14;app14;CL;label14;external;1.1.3;secret14;secretName14;config14;configMap14;vol14;/mnt/vol14;1800m;900m;2.5Gi;1.25Gi;2;false;14;node14;sonar14;token14;tokenDev14;tokenUat14;tokenPrd14;tokenDrs14;nsDev14;nsUat14;nsDevPrd14;nsDrs14
app15;proyecto15;repo15-app15;https://github.com/org/repo15-app15;app15;PE;label15;internal;1.1.4;secret15;secretName15;config15;configMap15;vol15;/mnt/vol15;1900m;950m;512Mi;256Mi;3;true;12;node15;sonar15;token15;tokenDev15;tokenUat15;tokenPrd15;tokenDrs15;nsDev15;nsUat15;nsDevPrd15;nsDrs15
app15b;proyecto15;repo15-app15b;https://github.com/org/repo15-app15b;app15b;PE;label15;internal;1.1.4;secret15b;secretName15b;config15b;configMap15b;vol15b;/mnt/vol15b;2000m;1000m;512Mi;256Mi;3;true;12;node15b;sonar15b;token15b;tokenDev15b;tokenUat15b;tokenPrd15b;tokenDrs15b;nsDev15b;nsUat15b;nsDevPrd15b;nsDrs15b
app16;proyecto16;repo16-app16;https://github.com/org/repo16-app16;app16;MX;label16;external;1.1.5;secret16;secretName16;config16;configMap16;vol16;/mnt/vol16;2000m;1000m;1Gi;512Mi;2;false;16;node16;sonar16;token16;tokenDev16;tokenUat16;tokenPrd16;tokenDrs16;nsDev16;nsUat16;nsDevPrd16;nsDrs16
app17;proyecto17;repo17-app17;https://github.com/org/repo17-app17;app17;CO;label17;internal;1.1.6;secret17;secretName17;config17;configMap17;vol17;/mnt/vol17;2100m;1050m;2Gi;1Gi;1;true;18;node17;sonar17;token17;tokenDev17;tokenUat17;tokenPrd17;tokenDrs17;nsDev17;nsUat17;nsDevPrd17;nsDrs17
app17b;proyecto17;repo17-app17b;https://github.com/org/repo17-app17b;app17b;CO;label17;internal;1.1.6;secret17b;secretName17b;config17b;configMap17b;vol17b;/mnt/vol17b;2200m;1100m;2Gi;1Gi;1;true;18;node17b;sonar17b;token17b;tokenDev17b;tokenUat17b;tokenPrd17b;tokenDrs17b;nsDev17b;nsUat17b;nsDevPrd17b;nsDrs17b
app18;proyecto18;repo18-app18;https://github.com/org/repo18-app18;app18;AR;label18;external;1.1.7;secret18;secretName18;config18;configMap18;vol18;/mnt/vol18;2200m;1100m;256Mi;128Mi;2;false;20;node18;sonar18;token18;tokenDev18;tokenUat18;tokenPrd18;tokenDrs18;nsDev18;nsUat18;nsDevPrd18;nsDrs18
app19;proyecto19;repo19-app19;https://github.com/org/repo19-app19;app19;CL;label19;internal;1.1.8;secret19;secretName19;config19;configMap19;vol19;/mnt/vol19;2300m;1150m;768Mi;384Mi;3;true;14;node19;sonar19;token19;tokenDev19;tokenUat19;tokenPrd19;tokenDrs19;nsDev19;nsUat19;nsDevPrd19;nsDrs19
app19b;proyecto19;repo19-app19b;https://github.com/org/repo19-app19b;app19b;CL;label19;internal;1.1.8;secret19b;secretName19b;config19b;configMap19b;vol19b;/mnt/vol19b;2400m;1200m;768Mi;384Mi;3;true;14;node19b;sonar19b;token19b;tokenDev19b;tokenUat19b;tokenPrd19b;tokenDrs19b;nsDev19b;nsUat19b;nsDevPrd19b;nsDrs19b
app20;proyecto20;repo20-app20;https://github.com/org/repo20-app20;app20;PE;label20;external;1.1.9;secret20;secretName20;config20;configMap20;vol20;/mnt/vol20;2400m;1200m;1.5Gi;750Mi;2;false;12;node20;sonar20;token20;tokenDev20;tokenUat20;tokenPrd20;tokenDrs20;nsDev20;nsUat20;nsDevPrd20;nsDrs20